Model,Category,Battery,GVWR,Vehicle Types,Range
Blue Bird All American,School Bus,155 kWh,Class 8,Transit Bus,120
Blue Bird Vision,School Bus,155 kWh,Class 8,Transit Bus,130
BYD 6F (T011N01),Straight Truck,211 kWh<br>282 kWh<br>343 kWh,Class 6;Class 7,Straight Truck,125<br>250<br>200
BYD 8TT,Tractor,422 kWh<br>563 kWh,Class 8,Drayage $ Eligible*;Tractor,124
BYD C10M,Heavy-Duty Bus,446 kWh,Class 8,Coach Bus,159
BYD C10MS,Heavy-Duty Bus,446 kWh,Class 8,Coach Bus,150
BYD C6M,Medium-Duty Bus,141 kWh,Class 6;Class 7,Coach Bus,125
BYD C8M,Heavy-Duty Bus,313 kWh,Class 8,Coach Bus,149
BYD C9M,Heavy-Duty Bus,352 kWh,Class 8,Coach Bus,200
BYD K11M,Heavy-Duty Bus,578 kWh <br> 652 kWh,Class 8,Transit Bus,170<br>193
BYD K7M,Heavy-Duty Bus,215 kWh,Class 6;Class 7,Transit Bus,135
BYD K7M-ER,Heavy-Duty Bus,266 kWh,Class 8,Transit Bus,150
BYD K8M,Heavy-Duty Bus,352 kWh,Class 8,Transit Bus,190
BYD S12N01,Medium-Duty Bus,156 kWh,Class 6,Transit Bus,155
BYD Type A S82N01,School Bus,156 kWh,Class 6;Type A,Public School Bus,140
Chevrolet BrightDrop 600,Step & Panel Van,104.2 kWh<br>173.3 kWh,Class 3,Step Van,150<br>250
Endera B Series,Medium-Duty Bus;Straight Truck,150 kWh,Class 4,Shuttle Bus;Straight Truck,130
Endera B4 XR Shuttle Bus,Medium-Duty Bus,144 kWh,Class 4,Shuttle Bus,150
Endera B5 XR Shuttle Bus,Medium-Duty Bus,144 kWh,Class 4,Shuttle Bus,150
Endera B5 XR Truck,Straight Truck,144 kWh,Class 4,Straight Truck,150
Endera B6 XR Truck,Straight Truck,144 kWh,Class 4,Straight Truck,150
Endera B7 XR Truck,Straight Truck,144 kWh,Class 4,Straight Truck,150
Endera B8 XR Truck,Straight Truck,144 kWh,Class 4,Straight Truck,150
Ford T350 Chassis Cab 2WD,2b;Step & Panel Van,68 kWh<br>89 kWh,Class 2b,Panel Van;Paratransit,125<br>150
Ford T350 Cutaway 2WD,2b;Straight Truck,68 kWh<br>89 kWh,Class 2b,Paratransit;Straight Truck,100<br>120
Ford T350 Van 2WD,2b;Step & Panel Van,68 kWh<br>89 kWh,Class 2b,Panel Van;Paratransit,100<br>120
Freightliner eCascadia,Tractor,291 kWh<br>438 kWh,Class 8,Drayage $ Eligible*;Tractor,150<br>250
